,Time(IST),Temp (c),Heat Index (c),Dew Point (c),Humidity (%),Pressure (hPa),Visibility (km),Wind Dir,Wind Speed (km/h),Gust Speed (km/h),Precip,Events,Conditions
0,12:00 AM,30.0,35.0,24.0,70,1000,3.0,NE,7.4,-,N/A,,Haze
1,12:30 AM,30.0,35.0,24.0,70,1000,3.0,NE,7.4,-,N/A,,Haze
2,1:00 AM,30.0,35.0,24.0,70,1000,3.0,NE,5.6,-,N/A,,Haze
3,1:30 AM,30.0,35.0,24.0,70,1000,3.0,ENE,5.6,-,N/A,,Haze
4,2:00 AM,30.0,35.0,24.0,70,1000,3.0,NE,5.6,-,N/A,,Haze
5,2:30 AM,29,-,22,61,1000,2,East,5.6,-,-,,Haze
6,2:30 AM,30.0,35.0,24.0,70,999,3.0,East,5.6,-,N/A,,Haze
7,3:00 AM,30.0,35.0,24.0,70,999,3.0,East,5.6,-,N/A,,Haze
8,3:30 AM,30.0,31.9,20.0,55,999,3.0,East,5.6,-,N/A,,Haze
9,4:00 AM,30.0,31.2,19.0,51,998,3.0,Calm,Calm,-,N/A,,Haze
10,4:30 AM,30.0,31.2,19.0,51,998,3.0,Calm,Calm,-,N/A,,Haze
11,5:00 AM,30.0,30.7,18.0,48,999,3.0,Calm,Calm,-,N/A,,Haze
12,5:30 AM,29,-,22,56,999,2,SW,7.4,-,-,,Haze
13,5:30 AM,30.0,31.2,19.0,51,999,3.0,WSW,7.4,-,N/A,,Haze
14,6:00 AM,30.0,31.9,20.0,55,1000,3.0,WNW,5.6,-,N/A,,Haze
15,6:30 AM,30.0,31.9,20.0,55,1000,3.0,West,5.6,-,N/A,,Haze
16,7:00 AM,31.0,33.0,20.0,52,1000,3.0,West,7.4,-,N/A,,Haze
17,8:00 AM,31.0,34.4,22.0,58,1002,3.0,West,18.5,37.0,N/A,,Haze
18,8:30 AM,31,-,26,67,1001,2,West,16.7,-,-,,Mist
19,8:30 AM,31.0,34.4,22.0,58,1002,2.5,West,16.7,-,N/A,,Haze
20,9:00 AM,32.0,35.6,22.0,55,1002,2.5,NW,11.1,-,N/A,,Haze
21,9:30 AM,32.0,34.9,21.0,52,1002,2.5,West,13.0,-,N/A,,Haze
22,10:00 AM,33.0,36.0,21.0,49,1002,2.8,NW,11.1,-,N/A,,Haze
23,10:30 AM,33.0,34.5,19.0,43,1002,2.8,NNW,11.1,-,N/A,,Haze
24,11:00 AM,33.0,35.2,20.0,46,1002,3.5,WNW,16.7,-,N/A,,Haze
25,11:30 AM,34,-,26,54,1001,2,WNW,18.5,-,-,,Haze
26,12:00 PM,35.0,36.9,19.0,39,1002,4.0,WNW,14.8,33.3,N/A,,Haze
27,12:30 PM,36.0,38.1,19.0,37,1002,4.0,West,14.8,33.3,N/A,,Haze
28,1:00 PM,36.0,38.8,20.0,39,1002,4.0,NW,14.8,33.3,N/A,,Haze
29,1:30 PM,36.0,38.1,19.0,37,1001,4.0,NW,14.8,33.3,N/A,,Haze
30,2:00 PM,36.0,38.8,20.0,39,1000,4.0,NNW,14.8,-,N/A,,Haze
31,2:30 PM,37,-,27,49,998,4,NNW,14.8,-,-,,Haze
32,3:00 PM,37.0,39.3,19.0,35,1000,4.0,NNW,13.0,-,N/A,,Haze
33,3:30 PM,37.0,39.3,19.0,35,1000,4.0,NW,18.5,-,N/A,,Haze
34,4:30 PM,37.0,39.3,19.0,35,1000,4.0,WNW,14.8,33.3,N/A,,Haze
35,5:00 PM,37.0,40.1,20.0,37,1000,4.0,West,14.8,33.3,N/A,,Haze
36,5:30 PM,35,-,27,55,998,4,WNW,18.5,-,-,,Haze
37,6:00 PM,35.0,38.5,21.0,44,1000,4.0,WNW,14.8,33.3,N/A,,Haze
38,7:00 PM,33.0,36.0,21.0,49,1000,4.0,WNW,22.2,-,N/A,,Haze
39,8:00 PM,32.0,34.9,21.0,52,1000,4.0,WNW,13.0,-,N/A,,Haze
40,8:30 PM,32,-,25,60,999,4,West,11.1,-,-,,Haze
41,8:30 PM,32.0,34.9,21.0,52,1000,4.0,West,11.1,-,N/A,,Haze
42,9:00 PM,32.0,34.1,20.0,49,1000,4.0,WNW,11.1,-,N/A,,Haze
43,9:30 PM,32.0,34.1,20.0,49,1001,3.5,WNW,13.0,-,N/A,,Haze
44,10:00 PM,32.0,33.5,19.0,46,1001,3.5,NW,13.0,-,N/A,,Haze
45,11:00 PM,31.0,33.0,20.0,52,1001,3.5,NW,13.0,-,N/A,,Haze
46,11:30 PM,30,-,24,61,1000,2,WNW,9.3,-,-,,Haze
47,11:30 PM,31.0,33.0,20.0,52,1001,3.5,WNW,9.3,-,N/A,,Haze
